No;TAHUN;NAMA OBJEK WISATA;WISATAWAN NUSANTARA;WISATAWAN MANCANEGARA
1;2022;Agroguna;0 Orang;0 Orang
2;2022;Agrowisata Belimbing;63.037 Orang;0 Orang
3;2022;Agrowisata Jambu Padang;8.955 Orang;0 Orang
4;2022;Agrowisata Salak Tanjungharjo;0 Orang;0 Orang
5;2022;Agrowisata Salak Wedi;435 Orang;0 Orang
6;2022;Air Terjun Krondonan;0 Orang;0 Orang
7;2022;Banyu Kuning;2.456 Orang;0 Orang
8;2022;Bukit Kopen;0 Orang;0 Orang
9;2022;Bukit Tono;0 Orang;0 Orang
10;2022;Dander Waterpark;22.472 Orang;0 Orang
11;2022;Go Fun;796.718 Orang;0 Orang
12;2022;Growgoland;18.516 Orang;0 Orang
13;2022;Gunung Jati;0 Orang;0 Orang
14;2022;Gunung Watu;0 Orang;0 Orang
15;2022;Kampung Tumo;1.092 Orang;0 Orang
16;2022;Kayangan Api;28.966 Orang;0 Orang
17;2022;Kedung Maor;0 Orang;0 Orang
18;2022;Kracaan Ngraho;0 Orang;0 Orang
19;2022;Makam Kanjeng Sumantri;93 Orang;0 Orang
20;2022;Makam Lancing Kusumo;260 Orang;0 Orang
21;2022;Makam Raden Aryo Matahun;197 Orang;0 Orang
22;2022;Masyarakat Samin;1.180 Orang;0 Orang
23;2022;Mumbul Kalianyar;21.664 Orang;0 Orang
24;2022;Negeri Atas Angin;1.148 Orang;0 Orang
25;2022;Outbond Toyoaji;1.185 Orang;0 Orang
26;2022;Penangkaran Rusa Malo;23.830 Orang;0 Orang
27;2022;Petilasan Angling Dharma;3.930 Orang;0 Orang
28;2022;Puthuk Kreweng;7.140 Orang;0 Orang
29;2022;Rumah Singgah;1.097 Orang;0 Orang
30;2022;Rumah Tua Padangan;704 Orang;0 Orang
31;2022;Sendang Tirta Arum;2.330 Orang;0 Orang
32;2022;Sumber Maha Dewi;35.068 Orang;0 Orang
33;2022;Taman Pinggir Nggawan;10.097 Orang;0 Orang
34;2022;Teksas Wonocolo;1.710 Orang;0 Orang
35;2022;Waduk Bendo;11.965 Orang;0 Orang
36;2022;Waduk Pacal;18.721 Orang;0 Orang
37;2022;Wali Kidangan;3.974 Orang;0 Orang
38;2022;Watu Gandul;0 Orang;0 Orang
39;2022;Wisata Blok-M Semawot;0 Orang;0 Orang
40;2022;Wisata Edukasi Gerabah;12.023 Orang;0 Orang
41;2022;Wisata Edukasi Mojodeso;490 Orang;0 Orang
42;2022;Wisata Edukasi Pejambon;7.499 Orang;0 Orang
43;2021;Agroguna;0 Orang;0 Orang
44;2021;Agrowisata Belimbing;70.234 Orang;0 Orang
45;2021;Agrowisata Jambu Padang;27.365 Orang;0 Orang
46;2021;Agrowisata Salak Tanjungharjo;0 Orang;0 Orang
47;2021;Agrowisata Salak Wedi;0 Orang;0 Orang
48;2021;Air Terjun Krondonan;0 Orang;0 Orang
49;2021;Banyu Kuning;240 Orang;0 Orang
50;2021;Bukit Kopen;0 Orang;0 Orang
51;2021;Bukit Tono;0 Orang;0 Orang
52;2021;Dander Waterpark;0 Orang;0 Orang
53;2021;Go Fun;1.376 Orang;0 Orang
54;2021;Growgoland;1.250 Orang;0 Orang
55;2021;Gunung Jati;0 Orang;0 Orang
56;2021;Gunung Watu;0 Orang;0 Orang
57;2021;Kayangan Api;36.819 Orang;0 Orang
58;2021;Kedung Maor;0 Orang;0 Orang
59;2021;Kracaan Ngraho;177 Orang;0 Orang
60;2021;Makam Kanjeng Sumantri;329 Orang;0 Orang
61;2021;Makam Lancing Kusumo;736 Orang;0 Orang
62;2021;Makam Raden Aryo Matahun;63 Orang;0 Orang
63;2021;Masyarakat Samin;636 Orang;0 Orang
64;2021;Mumbul Kalianyar;8.449 Orang;0 Orang
65;2021;Negeri Atas Angin;3.127 Orang;0 Orang
66;2021;Outbond Toyoaji;21 Orang;0 Orang
67;2021;Penangkaran Rusa Malo;6.136 Orang;0 Orang
68;2021;Petilasan Angling Dharma;693 Orang;0 Orang
69;2021;Puthuk Kreweng;5.223 Orang;0 Orang
70;2021;Rumah Singgah;1.488 Orang;0 Orang
71;2021;Rumah Tua Padangan;1.155 Orang;0 Orang
72;2021;Sumber Maha Dewi;1.566 Orang;0 Orang
73;2021;Taman Pinggir Nggawan;12.086 Orang;0 Orang
74;2021;Teksas Wonocolo;2.012 Orang;0 Orang
75;2021;Waduk Bendo;11.839 Orang;0 Orang
76;2021;Waduk Pacal;32.445 Orang;0 Orang
77;2021;Wali Kidangan;3.257 Orang;0 Orang
78;2021;Watu Gandul;0 Orang;0 Orang
79;2021;Wisata Blok-M Semawot;0 Orang;0 Orang
80;2021;Wisata Edukasi Gerabah;6.912 Orang;0 Orang
81;2021;Wisata Edukasi Mojodeso;0 Orang;0 Orang
82;2021;Wisata Edukasi Pejambon;2.244 Orang;0 Orang
83;2020;Agrowisata Belimbing;71.985 Orang;0 Orang
84;2020;Agrowisata Jambu Padang;7.620 Orang;0 Orang
85;2020;Agrowisata Salak Tanjungharjo;435 Orang;0 Orang
86;2020;Agrowisata Salak Wedi;368 Orang;0 Orang
87;2020;Air Terjun Krondonan;465 Orang;0 Orang
88;2020;Banyu Kuning;1.847 Orang;0 Orang
89;2020;Bukit Kopen;454 Orang;0 Orang
90;2020;Bukit Tono;0 Orang;0 Orang
91;2020;Dander Waterpark;40.119 Orang;0 Orang
92;2020;Go Fun;3.715 Orang;0 Orang
93;2020;Growgoland;12.282 Orang;0 Orang
94;2020;Gunung Jati;0 Orang;0 Orang
95;2020;Gunung Watu;932 Orang;0 Orang
96;2020;Kayangan Api;25.872 Orang;0 Orang
97;2020;Kedung Maor;0 Orang;0 Orang
98;2020;Kracaan Ngraho;0 Orang;0 Orang
99;2020;Makam Kanjeng Sumantri;0 Orang;0 Orang
100;2020;Makam Lancing Kusumo;0 Orang;0 Orang
TOTAL PER HALAMAN;;;1.512.924 ORANG;0 ORANG
